,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
122,Western Kentucky,151.5,49,25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
123,Air Force,148.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37,37,0,0,0,0
124,Xavier,148.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
125,Marist (N.Y.),146.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0,0,0,8,46
126,Rutgers (N.J.),145.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
127,Delaware,140.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
128,Middle Tennessee State,138.0,0,0,0,0,15,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
129,Appalachian State,136.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
130,Eastern Kentucky,131.0,0,0,0,0,38,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42,28.5,0,0,0,0
130,Wichita State (Kan.),131.0,9,64,0,0,55,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
132,Dartmouth (N.H.),130.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
133,Colorado State,129.5,0,0,0,0,67,5.0,0,0,0,0,0,0,0,0,0,0,0,0,57,16.0,56,13.5,0,0,0,0
134,Tennessee Chattanooga,125.5,0,0,0,0,34,38.5,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
135,Columbia/Barnard (N.Y.),125.0,49,25,0,0,78,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
136,Illinois Chicago,123.0,33,25,0,0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0,0,0,0,0
137,Oakland (Mich.),122.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
137,Texas A&M Corpus Christi,122.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,25,46.5,0,0,0,0
137,Vermont,122.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
140,North Carolina Charlotte,119.75,49,25,0,0,8,69.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
141,Jacksonville,115.5,0,0,58,15,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,31,37.5,0,0,0,0,0,0
142,Creighton (Neb.),114.0,0,0,0,0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0,0,0,0,0
