,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
107,South Dakota,Summit,FCS,170.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,27,45.5,0,0,0,0,0,0,81.0,43.5,45.5
110,Northern Iowa,Missouri Valley,FCS,168.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,55,16,0,0,0,0,0,0,103.0,49.5,16.0
111,Pittsburgh,ACC,FBS,167.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,89.0,0.0
112,Pacific,WCC,DI,165.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,105.0,0.0,60.0
113,Gonzaga,WCC,DI,164.5,33,37.5,0,0.0,0,0.0,0,0,0,0,18,38.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,75.5
114,Central Michigan,MAC,FBS,163.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,138.5,0.0
115,Albany,America East,FCS,163.0,0,0.0,69,5.0,0,0.0,0,0,3,83,0,0.0,49,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,113.0
116,Wyoming,Mountain West,FBS,158.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,113.0,0.0
117,Coastal Carolina,Sun Belt,FBS,157.0,33,37.5,58,14.5,55,16.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0.0,68.0
117,Florida International,Conference USA,FBS,157.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,33,25,0,0,0,0,0,0,0,0,0,0,7,25,75.0,32.0,50.0
119,Colgate,Patriot,FCS,154.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,90.0,0.0
120,San Diego,WCC,FCS,153.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,103.0,0.0,50.0
121,Georgia Tech,ACC,FBS,151.5,0,0.0,0,0.0,31,40.5,0,0,0,0,0,0.0,0,0.0,3,83,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0.0,123.5
122,Long Beach State,Big West,DI,148.5,0,0.0,62,11.0,0,0.0,0,0,0,0,0,0.0,33,37.5,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0.0,0.0,148.5
