,,,,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
93,New Hampshire,America East,FCS,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Fairleigh Dickinson,Northeast,DI,192.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23.5,0,0,0,0,0,0
95,Grand Canyon,WAC,DI,190.75,0,0,0,0,63,10.25,0,0,0,0,0,0,33,37.5,33,25,0,0,0,0,0,0,5,40,0,0,9,53
96,Middle Tennessee State,Conference USA,FBS,180.25,0,0,0,0,63,10.25,0,0,0,0,0,0,17,50,0,0,17,50,0,0,0,0,0,0,0,0,0,0
97,Marquette,Big East,DI,179.5,0,0,0,0,55,15.5,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Liberty,ASUN,FBS,179,0,0,0,0,44,27.5,0,0,0,0,0,0,17,50,0,0,0,0,0,0,47,23.5,0,0,0,0,0,0
99,Tulsa,American,FBS,178,0,0,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,San Jose State,Mountain West,FBS,176.3,49,25,16,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,0,0,0,0,0,0,0,0
101,Campbell,Big South,FCS,175,17,50,55,16,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,31,42.5,0,0,0,0,0,0,0,0
102,Tulane,American,FBS,173.8,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
103,Northeastern,CAA,DI,172,49,25,0,0,0,0,0,0,0,0,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,FIU,Conference USA,FBS,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,9,53
105,Boston College,ACC,FBS,170,17,50,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
