,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
105,North Dakota State,Summit,FCS,170.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Colorado State,Mountain West,FBS,167,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,49,21.5,0,0,0,0,0,0,0,0
106,Western Michigan,MAC,FBS,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
108,San Diego,WCC,FCS,166,33,37.5,0,0,43,28.5,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0,0,0,0,0,0,0
109,Boston College,ACC,FBS,165,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Coastal Carolina,Sun Belt,FBS,163.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0
111,Army West Point,Patriot,FBS,159.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
112,South Florida,American,FBS,158.5,0,0,0,0,28,46,0,0,0,0,0,0,33,37.5,0,0,33,25,0,0,0,0,0,0,0,0,0,0
113,Boise State,Mountain West,FBS,158,0,0,0,0,61,10.5,0,0,0,0,0,0,0,0,0,0,0,0,25,47,0,0,0,0,0,0,0,0
114,Missouri State,Missouri Valley,FCS,150,33,37.5,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Quinnipiac,MAAC,DI,150,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
116,Utah State,Mountain West,FBS,149.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Loyola Marymount,WCC,DI,145.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,33,25,0,0,0,0,0,0,0,0,0,0,3,83
118,Louisiana,Sun Belt,FBS,143.5,33,37.5,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Central Michigan,MAC,FBS,142,33,37.5,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Northeastern,CAA,DI,142,0,0,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,FIU,Conference USA,FBS,140.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,41,31.5,0,0,0,0,0,0,0,0
122,East Tennessee State,SoCon,FCS,140,0,0,0,0,29,45,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
123,Hofstra,CAA,DI,139,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Kennesaw State,ASUN,FCS,138.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0
125,Wyoming,Mountain West,FBS,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,James Madison,CAA,FCS,136,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,New Hampshire,America East,FCS,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Furman,SoCon,FCS,135.5,0,0,31,40.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
