,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
147,Coastal Carolina (S.C.),103.5,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,28.5,0,0.0
148,Ball State (Ind.),102.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,73,5.0
149,Seton Hall (N.J.),101.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,22.5,0,0.0
150,Central Florida,100.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0.0
150,Florida Atlantic,100.0,33,25,0,0.0,0,0.0,0,0,0,0,0,0,25,50,33,25,0,0,0,0.0,0,0.0
150,Louisville (Ky.),100.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
150,Texas-Arlington,100.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,0,0,33,25,0,0.0,0,0.0
154,Louisiana-Lafayette,99.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,7,73,0,0,0,0,0,0.0,46,26.5
155,Maryland-Baltimore County,98.5,0,0,0,0.0,0,0.0,9,25,0,0,0,0,0,0,33,25,33,25,0,0.0,50,23.5
156,Southwest Missouri State,98.0,5,73,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
157,U.S. Military Academy (N.Y.),96.0,0,0,0,0.0,0,0.0,0,0,9,25,0,0,0,0,33,25,0,0,0,0.0,0,0.0
158,Southern Illinois,94.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,67,5.0,0,0.0
159,Iona (N.Y.),92.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,0.0
160,Illinois-Chicago,91.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
161,Lamar (Tex.),85.5,17,50,0,0.0,37,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
162,Middle Tennessee State,83.5,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16,58.5
163,Southern Mississippi,83.0,17,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37,33.0
164,Xavier (Ohio),82.5,0,0,0,0.0,64,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
165,Wisconsin-Green Bay,82.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
166,Georgia State,81.5,0,0,52,21.0,37,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
167,Akron (Ohio),79.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.0,0,0.0
167,San Jose State (Cal.),79.0,0,0,34,38.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
